No,Category,Problem Name,LeetCode,Difficulty,Status,Priority,Companies
1,Array,Two Sum,1,Easy,Completed,Must Do,All FAANG
2,Array,3Sum,15,Medium,To Do,Must Do,Amazon | Meta | Microsoft
3,Array,Container With Most Water,11,Medium,Completed,Must Do,Amazon | Meta | Google
4,Array,Product of Array Except Self,238,Medium,Completed,Must Do,Amazon | Meta | Microsoft | LinkedIn
5,Array,Maximum Subarray,53,Medium,To Do,Must Do,Amazon | Microsoft | LinkedIn
6,Array,Maximum Product Subarray,152,Medium,To Do,Core,Amazon | LinkedIn
7,Array,Subarray Sum Equals K,560,Medium,Completed,Must Do,Meta | Amazon | Google
8,Array,Next Permutation,31,Medium,Completed,Must Do,Google | Meta | Amazon
9,Array,Sort Colors,75,Medium,To Do,Must Do,Microsoft | Amazon
10,Array,Longest Consecutive Sequence,128,Medium,Completed,Must Do,Amazon | Google
11,Array,Spiral Matrix,54,Medium,To Do,Core,Amazon | Microsoft
12,Array,Rotate Array,189,Medium,To Do,Core,Amazon | Microsoft
13,Array,Find All Duplicates in Array,442,Medium,To Do,Core,Amazon
14,String,Longest Palindromic Substring,5,Medium,Completed,Must Do,Amazon | Microsoft
15,String,Group Anagrams,49,Medium,Completed,Must Do,Amazon | Meta | Microsoft
16,String,Encode and Decode Strings,271,Medium,Completed,Must Do,Meta | Google
17,String,Longest Common Prefix,14,Easy,Completed,Must Do,Amazon | Microsoft
18,String,Valid Palindrome,125,Easy,Completed,Must Do,Meta | Microsoft
19,String,Minimum Remove to Make Valid Parentheses,1249,Medium,To Do,Must Do,Meta | Amazon
20,String,Palindromic Substrings,647,Medium,To Do,Core,Amazon | Meta
21,String,Integer to Roman,12,Medium,To Do,Core,Amazon | Microsoft
22,String,Multiply Strings,43,Medium,To Do,Depth,Meta | Amazon
23,Sliding Window,Longest Substring Without Repeating,3,Medium,Completed,Must Do,Amazon | Meta | Microsoft | Google
24,Sliding Window,Minimum Window Substring,76,Hard,Completed,Must Do,Meta | Amazon | LinkedIn | Google
25,Sliding Window,Find All Anagrams in a String,438,Medium,To Do,Must Do,Amazon | Meta
26,Sliding Window,Longest Repeating Character Replacement,424,Medium,To Do,Must Do,Amazon | Google
