No,Category,Problem Name,LeetCode,Difficulty,Status,Priority,Importance_FE,Intuition
1,Array,Two Sum,1,Easy,Completed,Must Do,VVIMP,"Use HashMap to store complement (target - num). Check if current num exists as key in O(1)."
2,Array,3Sum,15,Medium,To Do,Must Do,VVIMP,"Sort array first. Fix one element and use two pointers for remaining two. Skip duplicates to avoid repeat triplets."
3,Array,Container With Most Water,11,Medium,Completed,Must Do,VVIMP,"Two pointers at ends. Area = min(height) × width. Move the shorter pointer inward hoping for taller line."
4,Array,Product of Array Except Self,238,Medium,Completed,Must Do,VVIMP,"Two passes: left-to-right for prefix products and right-to-left for suffix products. Multiply both for result."
5,Array,Maximum Subarray,53,Medium,To Do,Must Do,VVIMP,"Kadane's Algorithm: Track current sum and reset to 0 if negative. Keep global max. DP: dp[i] = max(nums[i], dp[i-1] + nums[i])."
6,Array,Maximum Product Subarray,152,Medium,To Do,Core,IMP,"Track both max and min at each position (negative × negative = positive). Result is max of all maxProducts."
7,Array,Subarray Sum Equals K,560,Medium,Completed,Must Do,VVIMP,"Prefix sum + HashMap. Store count of each prefix sum. If (currentSum - k) exists in map, add its count to result."
8,Array,Next Permutation,31,Medium,Completed,Must Do,VVIMP,"Find rightmost ascending pair (i, i+1). Swap nums[i] with smallest larger element on right. Reverse suffix after i."
9,Array,Sort Colors,75,Medium,To Do,Must Do,VVIMP,"Dutch National Flag: Three pointers (low, mid, high). 0s go left, 2s go right, 1s stay middle. One pass O(n)."
10,Array,Longest Consecutive Sequence,128,Medium,Completed,Must Do,VVIMP,"Use HashSet for O(1) lookup. Only start counting from sequence start (num-1 not in set). Expand rightward."
11,Matrix,Spiral Matrix,54,Medium,To Do,Core,IMP,"Maintain 4 boundaries (top, bottom, left, right). Traverse right→down→left→up. Shrink boundaries after each direction."
12,Array,Rotate Array,189,Medium,To Do,Core,IMP,"Three reverses: reverse entire array, reverse first k elements, reverse remaining. Or use extra array with (i+k)%n indexing."
13,Array,Find All Duplicates in Array,442,Medium,To Do,Core,IMP,"Use array indices as hash. Mark visited by negating nums[abs(num)-1]. If already negative, it's a duplicate."
14,String,Longest Palindromic Substring,5,Medium,Completed,Must Do,VVIMP,"Expand around center for each position. Check both odd (single center) and even (double center) palindromes."
15,String,Group Anagrams,49,Medium,Completed,Must Do,VVIMP,"Use sorted string as key in HashMap. All anagrams sort to same string. Group values by key."
16,String,Encode and Decode Strings,271,Medium,Completed,Must Do,VVIMP,"Encode: length + delimiter + string (e.g., '4#word'). Decode: read length, skip delimiter, extract string."
